[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2022-05-30 01:38:15.064756 I | etcdmain: etcd Version: 3.4.13
2022-05-30 01:38:15.065120 I | etcdmain: Git SHA: ae9734ed2
2022-05-30 01:38:15.065159 I | etcdmain: Go Version: go1.12.17
2022-05-30 01:38:15.065256 I | etcdmain: Go OS/Arch: linux/amd64
2022-05-30 01:38:15.065292 I | etcdmain: setting maximum number of CPUs to 3, total number of available CPUs is 3
2022-05-30 01:38:15.098490 N | etcdmain: the server is already initialized as member before, starting as etcd member...
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2022-05-30 01:38:15.099454 I | embed: peerTLS: cert = /etc/kubernetes/pki/etcd/peer.crt, key = /etc/kubernetes/pki/etcd/peer.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2022-05-30 01:38:15.388095 I | embed: name = my-node
2022-05-30 01:38:15.388161 I | embed: data dir = /var/lib/etcd
2022-05-30 01:38:15.388194 I | embed: member dir = /var/lib/etcd/member
2022-05-30 01:38:15.388200 I | embed: heartbeat = 100ms
2022-05-30 01:38:15.388202 I | embed: election = 1000ms
2022-05-30 01:38:15.388204 I | embed: snapshot count = 10000
2022-05-30 01:38:15.388212 I | embed: advertise client URLs = https://10.0.2.15:2379
2022-05-30 01:38:15.388215 I | embed: initial advertise peer URLs = https://10.0.2.15:2380
2022-05-30 01:38:15.388219 I | embed: initial cluster = 
2022-05-30 01:38:16.042101 I | etcdserver: restarting member f074a195de705325 in cluster ef296cf39f5d9d66 at commit index 1568
raft2022/05/30 01:38:16 INFO: f074a195de705325 switched to configuration voters=()
raft2022/05/30 01:38:16 INFO: f074a195de705325 became follower at term 2
raft2022/05/30 01:38:16 INFO: newRaft f074a195de705325 [peers: [], term: 2, commit: 1568, applied: 0, lastindex: 1568, lastterm: 2]
2022-05-30 01:38:16.177479 W | auth: simple token is not cryptographically signed
2022-05-30 01:38:16.307336 I | etcdserver: starting server... [version: 3.4.13, cluster version: to_be_decided]
raft2022/05/30 01:38:16 INFO: f074a195de705325 switched to configuration voters=(17326651331455243045)
2022-05-30 01:38:16.349422 I | etcdserver/membership: added member f074a195de705325 [https://10.0.2.15:2380] to cluster ef296cf39f5d9d66
2022-05-30 01:38:16.350081 N | etcdserver/membership: set the initial cluster version to 3.4
2022-05-30 01:38:16.350447 I | etcdserver/api: enabled capabilities for version 3.4
2022-05-30 01:38:16.375266 I | embed: ClientTLS: cert = /etc/kubernetes/pki/etcd/server.crt, key = /etc/kubernetes/pki/etcd/server.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2022-05-30 01:38:16.375645 I | embed: listening for metrics on http://127.0.0.1:2381
2022-05-30 01:38:16.375909 I | embed: listening for peers on 10.0.2.15:2380
raft2022/05/30 01:38:17 INFO: f074a195de705325 is starting a new election at term 2
raft2022/05/30 01:38:17 INFO: f074a195de705325 became candidate at term 3
raft2022/05/30 01:38:17 INFO: f074a195de705325 received MsgVoteResp from f074a195de705325 at term 3
raft2022/05/30 01:38:17 INFO: f074a195de705325 became leader at term 3
raft2022/05/30 01:38:17 INFO: raft.node: f074a195de705325 elected leader f074a195de705325 at term 3
2022-05-30 01:38:17.363786 I | etcdserver: published {Name:my-node ClientURLs:[https://10.0.2.15:2379]} to cluster ef296cf39f5d9d66
2022-05-30 01:38:17.364026 I | embed: ready to serve client requests
2022-05-30 01:38:17.364129 I | embed: ready to serve client requests
2022-05-30 01:38:17.548165 I | embed: serving client requests on 10.0.2.15:2379
2022-05-30 01:38:17.552457 I | embed: serving client requests on 127.0.0.1:2379
2022-05-30 01:38:27.759864 W | etcdserver: read-only range request "key:\"/registry/leases/kube-node-lease/my-node\" " with result "range_response_count:1 size:595" took too long (153.336609ms) to execute
2022-05-30 01:38:27.760655 W | etcdserver: read-only range request "key:\"/registry/csinodes/my-node\" " with result "range_response_count:1 size:449" took too long (153.536012ms) to execute
2022-05-30 01:38:27.762065 W | etcdserver: request "header:<ID:5991336796231797644 username:\"kube-apiserver-etcd-client\" auth_revision:1 > lease_grant:<ttl:3660-second id:532581129d1f8b8b>" with result "size:42" took too long (106.498867ms) to execute
2022-05-30 01:38:27.764332 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-my-node\" " with result "range_response_count:1 size:7002" took too long (153.739073ms) to execute
2022-05-30 01:38:27.764704 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:417" took too long (109.26038ms) to execute
2022-05-30 01:38:30.078848 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2022-05-30 01:38:37.118411 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-apiserver-my-node.16f3be43ad7eecd3\" " with result "range_response_count:1 size:832" took too long (504.085718ms) to execute
2022-05-30 01:38:37.118521 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-4pwdh\" " with result "range_response_count:1 size:4546" took too long (547.931082ms) to execute
2022-05-30 01:38:37.480566 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/etcd-my-node.16f3be43aa43df92\" " with result "range_response_count:1 size:802" took too long (354.343785ms) to execute
2022-05-30 01:38:38.310324 W | etcdserver: request "header:<ID:5991336796231797926 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/etcd-my-node.16f3be43aa43df92\" mod_revision:1493 > success:<request_put:<key:\"/registry/events/kube-system/etcd-my-node.16f3be43aa43df92\" value_size:711 lease:5991336796231797643 >> failure:<request_range:<key:\"/registry/events/kube-system/etcd-my-node.16f3be43aa43df92\" > >>" with result "size:16" took too long (442.254279ms) to execute
2022-05-30 01:38:38.311002 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" " with result "range_response_count:1 size:7345" took too long (543.900388ms) to execute
2022-05-30 01:38:38.311510 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (369.76015ms) to execute
2022-05-30 01:38:38.312104 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:575" took too long (116.044072ms) to execute
2022-05-30 01:38:38.805008 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:479" took too long (486.106359ms) to execute
2022-05-30 01:38:38.805537 W | etcdserver: request "header:<ID:5991336796231797932 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" mod_revision:686 > success:<request_put:<key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" value_size:7561 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" > >>" with result "size:16" took too long (357.384664ms) to execute
2022-05-30 01:38:38.812773 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-controller-manager-my-node.16f3be43b1a370a2\" " with result "range_response_count:1 size:859" took too long (490.352185ms) to execute
2022-05-30 01:38:39.174518 W | etcdserver: request "header:<ID:5991336796231797937 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-apiserver-my-node\" mod_revision:411 > success:<request_put:<key:\"/registry/pods/kube-system/kube-apiserver-my-node\" value_size:7271 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-apiserver-my-node\" > >>" with result "size:16" took too long (185.887968ms) to execute
2022-05-30 01:38:39.175050 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:257" took too long (195.527563ms) to execute
2022-05-30 01:38:39.704961 W | etcdserver: request "header:<ID:5991336796231797945 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/kube-proxy-4pwdh.16f3be4aaf2fbb6c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/kube-proxy-4pwdh.16f3be4aaf2fbb6c\" value_size:655 lease:5991336796231797643 >> failure:<>>" with result "size:16" took too long (348.922475ms) to execute
2022-05-30 01:38:39.705576 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-apiserver-my-node\" " with result "range_response_count:1 size:7343" took too long (518.489403ms) to execute
2022-05-30 01:38:40.084315 W | etcdserver: request "header:<ID:5991336796231797950 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-apiserver-my-node\" mod_revision:1504 > success:<request_put:<key:\"/registry/pods/kube-system/kube-apiserver-my-node\" value_size:7079 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-apiserver-my-node\" > >>" with result "size:16" took too long (248.881604ms) to execute
2022-05-30 01:38:40.085228 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:127" took too long (368.045388ms) to execute
2022-05-30 01:38:40.085272 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:602" took too long (267.323626ms) to execute
2022-05-30 01:38:42.087103 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2022-05-30 01:38:45.477562 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (334.802559ms) to execute
2022-05-30 01:38:47.037986 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (156.185251ms) to execute
2022-05-30 01:38:48.784031 W | etcdserver: request "header:<ID:5991336796231797987 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/my-node\" mod_revision:1500 > success:<request_put:<key:\"/registry/leases/kube-node-lease/my-node\" value_size:533 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/my-node\" > >>" with result "size:16" took too long (380.122608ms) to execute
2022-05-30 01:38:48.784120 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:602" took too long (253.464264ms) to execute
