Flag --port has been deprecated, see --secure-port instead.
I0530 01:38:21.457416       1 serving.go:331] Generated self-signed cert in-memory
I0530 01:38:22.073460       1 controllermanager.go:175] Version: v1.19.16
I0530 01:38:22.105751       1 dynamic_cafile_content.go:167] Starting request-header::/etc/kubernetes/pki/front-proxy-ca.crt
I0530 01:38:22.105820       1 dynamic_cafile_content.go:167] Starting client-ca-bundle::/etc/kubernetes/pki/ca.crt
I0530 01:38:22.141872       1 secure_serving.go:202] Serving securely on 127.0.0.1:10257
I0530 01:38:22.142222       1 leaderelection.go:243] attempting to acquire leader lease  kube-system/kube-controller-manager...
I0530 01:38:22.143072       1 tlsconfig.go:240] Starting DynamicServingCertificateController
E0530 01:38:27.535416       1 leaderelection.go:325] error retrieving resource lock kube-system/kube-controller-manager: endpoints "kube-controller-manager" is forbidden: User "system:kube-controller-manager" cannot get resource "endpoints" in API group "" in the namespace "kube-system"
I0530 01:38:49.222037       1 leaderelection.go:253] successfully acquired lease kube-system/kube-controller-manager
I0530 01:38:49.222372       1 event.go:291] "Event occurred" object="kube-system/kube-controller-manager" kind="Endpoints" apiVersion="v1" type="Normal" reason="LeaderElection" message="my-node_a12c8a0b-f4db-4429-89cc-6069aed7d9dc became leader"
I0530 01:38:49.222385       1 event.go:291] "Event occurred" object="kube-system/kube-controller-manager" kind="Lease" apiVersion="coordination.k8s.io/v1" type="Normal" reason="LeaderElection" message="my-node_a12c8a0b-f4db-4429-89cc-6069aed7d9dc became leader"
W0530 01:38:50.174938       1 controllermanager.go:541] Skipping "ttl-after-finished"
I0530 01:38:50.175342       1 shared_informer.go:240] Waiting for caches to sync for tokens
I0530 01:38:50.277308       1 shared_informer.go:247] Caches are synced for tokens 
I0530 01:38:50.542330       1 controllermanager.go:549] Started "serviceaccount"
I0530 01:38:50.542534       1 serviceaccounts_controller.go:117] Starting service account controller
I0530 01:38:50.542541       1 shared_informer.go:240] Waiting for caches to sync for service account
I0530 01:38:50.988835       1 controllermanager.go:549] Started "garbagecollector"
I0530 01:38:50.989375       1 garbagecollector.go:128] Starting garbage collector controller
I0530 01:38:50.989385       1 shared_informer.go:240] Waiting for caches to sync for garbage collector
I0530 01:38:50.989397       1 graph_builder.go:282] GraphBuilder running
I0530 01:38:51.420507       1 controllermanager.go:549] Started "job"
I0530 01:38:51.420665       1 job_controller.go:148] Starting job controller
I0530 01:38:51.420670       1 shared_informer.go:240] Waiting for caches to sync for job
I0530 01:38:51.831026       1 controllermanager.go:549] Started "statefulset"
I0530 01:38:51.831095       1 stateful_set.go:146] Starting stateful set controller
I0530 01:38:51.831099       1 shared_informer.go:240] Waiting for caches to sync for stateful set
I0530 01:38:51.845066       1 controllermanager.go:549] Started "bootstrapsigner"
I0530 01:38:51.845375       1 shared_informer.go:240] Waiting for caches to sync for bootstrap_signer
I0530 01:38:52.692350       1 controllermanager.go:549] Started "endpointslice"
I0530 01:38:52.692464       1 endpointslice_controller.go:237] Starting endpoint slice controller
I0530 01:38:52.692495       1 shared_informer.go:240] Waiting for caches to sync for endpoint_slice
I0530 01:38:54.395892       1 controllermanager.go:549] Started "horizontalpodautoscaling"
I0530 01:38:54.396159       1 horizontal.go:169] Starting HPA controller
I0530 01:38:54.396167       1 shared_informer.go:240] Waiting for caches to sync for HPA
I0530 01:38:54.634184       1 expand_controller.go:303] Starting expand controller
I0530 01:38:54.634345       1 shared_informer.go:240] Waiting for caches to sync for expand
I0530 01:38:54.634327       1 controllermanager.go:549] Started "persistentvolume-expander"
I0530 01:38:54.735025       1 controllermanager.go:549] Started "pvc-protection"
I0530 01:38:54.735337       1 pvc_protection_controller.go:110] Starting PVC protection controller
I0530 01:38:54.735358       1 shared_informer.go:240] Waiting for caches to sync for PVC protection
I0530 01:38:54.857457       1 daemon_controller.go:285] Starting daemon sets controller
I0530 01:38:54.857522       1 shared_informer.go:240] Waiting for caches to sync for daemon sets
I0530 01:38:54.857507       1 controllermanager.go:549] Started "daemonset"
I0530 01:38:54.866261       1 controllermanager.go:549] Started "cronjob"
I0530 01:38:54.866392       1 cronjob_controller.go:96] Starting CronJob Manager
I0530 01:38:54.878689       1 controllermanager.go:549] Started "csrapproving"
I0530 01:38:54.878699       1 certificate_controller.go:118] Starting certificate controller "csrapproving"
I0530 01:38:54.878824       1 shared_informer.go:240] Waiting for caches to sync for certificate-csrapproving
I0530 01:38:54.887205       1 node_ipam_controller.go:91] Sending events to api server.
I0530 01:39:05.085014       1 range_allocator.go:82] Sending events to api server.
I0530 01:39:05.085189       1 range_allocator.go:116] No Secondary Service CIDR provided. Skipping filtering out secondary service addresses.
I0530 01:39:05.085314       1 controllermanager.go:549] Started "nodeipam"
I0530 01:39:05.085501       1 node_ipam_controller.go:159] Starting ipam controller
I0530 01:39:05.085508       1 shared_informer.go:240] Waiting for caches to sync for node
I0530 01:39:05.095373       1 controllermanager.go:549] Started "endpointslicemirroring"
I0530 01:39:05.124618       1 endpointslicemirroring_controller.go:211] Starting EndpointSliceMirroring controller
I0530 01:39:05.125200       1 shared_informer.go:240] Waiting for caches to sync for endpoint_slice_mirroring
I0530 01:39:05.459718       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for serviceaccounts
I0530 01:39:05.459791       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for daemonsets.apps
I0530 01:39:05.459826       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for replicasets.apps
I0530 01:39:05.493761       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for networkpolicies.networking.k8s.io
I0530 01:39:05.494298       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for roles.rbac.authorization.k8s.io
I0530 01:39:05.494395       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for leases.coordination.k8s.io
I0530 01:39:05.494437       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for ingresses.extensions
I0530 01:39:05.494466       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for events.events.k8s.io
I0530 01:39:05.494488       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for cronjobs.batch
I0530 01:39:05.494510       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for podtemplates
I0530 01:39:05.494603       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for controllerrevisions.apps
I0530 01:39:05.494730       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for limitranges
I0530 01:39:05.494764       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for statefulsets.apps
I0530 01:39:05.494787       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for ingresses.networking.k8s.io
W0530 01:39:05.494810       1 shared_informer.go:494] resyncPeriod 56404370648090 is smaller than resyncCheckPeriod 57968456361832 and the informer has already started. Changing it to 57968456361832
I0530 01:39:05.494867       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for endpointslices.discovery.k8s.io
I0530 01:39:05.496318       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for jobs.batch
I0530 01:39:05.496877       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for rolebindings.rbac.authorization.k8s.io
I0530 01:39:05.496919       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for endpoints
I0530 01:39:05.496943       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for poddisruptionbudgets.policy
I0530 01:39:05.497304       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for deployments.apps
I0530 01:39:05.497532       1 resource_quota_monitor.go:228] QuotaMonitor created object count evaluator for horizontalpodautoscalers.autoscaling
I0530 01:39:05.497853       1 controllermanager.go:549] Started "resourcequota"
W0530 01:39:05.497879       1 core.go:244] configure-cloud-routes is set, but no cloud provider specified. Will not configure cloud provider routes.
W0530 01:39:05.497890       1 controllermanager.go:541] Skipping "route"
W0530 01:39:05.497908       1 controllermanager.go:541] Skipping "root-ca-cert-publisher"
I0530 01:39:05.500706       1 resource_quota_controller.go:272] Starting resource quota controller
I0530 01:39:05.501717       1 shared_informer.go:240] Waiting for caches to sync for resource quota
I0530 01:39:05.502214       1 resource_quota_monitor.go:303] QuotaMonitor running
I0530 01:39:05.749674       1 controllermanager.go:549] Started "deployment"
I0530 01:39:05.749997       1 deployment_controller.go:153] Starting deployment controller
I0530 01:39:05.750116       1 shared_informer.go:240] Waiting for caches to sync for deployment
E0530 01:39:05.759100       1 core.go:90] Failed to start service controller: WARNING: no cloud provider provided, services of type LoadBalancer will fail
W0530 01:39:05.759336       1 controllermanager.go:541] Skipping "service"
I0530 01:39:06.579082       1 controllermanager.go:549] Started "attachdetach"
W0530 01:39:06.579243       1 controllermanager.go:541] Skipping "ephemeral-volume"
I0530 01:39:06.579508       1 attach_detach_controller.go:323] Starting attach detach controller
I0530 01:39:06.580356       1 shared_informer.go:240] Waiting for caches to sync for attach detach
I0530 01:39:06.607846       1 request.go:645] Throttling request took 1.049399036s, request: GET:https://10.0.2.15:6443/apis/networking.k8s.io/v1beta1?timeout=32s
I0530 01:39:06.735440       1 controllermanager.go:549] Started "pv-protection"
I0530 01:39:06.735623       1 pv_protection_controller.go:83] Starting PV protection controller
I0530 01:39:06.735629       1 shared_informer.go:240] Waiting for caches to sync for PV protection
I0530 01:39:07.165614       1 controllermanager.go:549] Started "endpoint"
I0530 01:39:07.166128       1 endpoints_controller.go:184] Starting endpoint controller
